Model,Fold,Target,Requested,Valid,Undefined,Undefined rate,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Mixed-type CEM,3,margin,549,549,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD3-MARGIN,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,3,sphericity,549,548,1,0.002,RES-P9-GRADCAM-MIXED_CEM-FOLD3-SPHERICITY,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,3,spiculation,549,549,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD3-SPICULATION,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,3,subtlety,549,549,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD3-SUBTLETY,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,3,texture,549,542,7,0.013,RES-P9-GRADCAM-MIXED_CEM-FOLD3-TEXTURE,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,4,calcification,564,368,196,0.348,RES-P9-GRADCAM-MIXED_CEM-FOLD4-CALCIFICATION,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,4,internalStructure,564,167,397,0.704,RES-P9-GRADCAM-MIXED_CEM-FOLD4-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,4,lobulation,564,564,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD4-LOBULATION,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,4,malignancy,564,203,361,0.640,RES-P9-GRADCAM-MIXED_CEM-FOLD4-MALIGNANCY,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,4,margin,564,558,6,0.011,RES-P9-GRADCAM-MIXED_CEM-FOLD4-MARGIN,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
