model,scope,fold,target,quantity,sample_count,saliency_mean,saliency_sd,saliency_median,saliency_minus_random_mean,saliency_greater_than_random_rate
Mixed-type CEM,fold_target,3,texture,error_increase,542,0.015421696364659666,0.0304449679038172,0.010695099830627441,-0.052470077755706335,0.26199261992619927
Mixed-type CEM,fold_target,4,calcification,output_sensitivity,368,0.2642556166519289,0.3135351905177884,0.13201427459716797,-1.230852925469694,0.010869565217391304
Mixed-type CEM,fold_target,4,calcification,error_increase,368,-0.17277952996285065,0.3718636586854562,-0.07340621948242188,1.1378502814828053,0.9130434782608695
Mixed-type CEM,fold_target,4,internalStructure,output_sensitivity,167,0.09633386706163784,0.13015414718243082,0.04196977615356445,-0.9684090687129314,0.08982035928143713
Mixed-type CEM,fold_target,4,internalStructure,error_increase,167,-0.009544971460353829,0.16164532004254314,-4.7206878662109375e-05,-1.0646173969714228,0.023952095808383235
Mixed-type CEM,fold_target,4,lobulation,output_sensitivity,564,0.17369257674572317,0.11385935956849348,0.17016303539276123,-0.46424435348586834,0.028368794326241134
Mixed-type CEM,fold_target,4,lobulation,error_increase,564,-0.171893724630065,0.11655733529349324,-0.17016303539276123,0.40071166687189264,0.8936170212765957
Mixed-type CEM,fold_target,4,malignancy,output_sensitivity,203,0.023995578509246187,0.025458687404084402,0.01616266369819641,-0.37164767289837003,0.0049261083743842365
Mixed-type CEM,fold_target,4,malignancy,error_increase,203,0.006463997078255087,0.03208308282645507,0.0053796470165252686,-0.29657802508627057,0.07881773399014778
Mixed-type CEM,fold_target,4,margin,output_sensitivity,558,0.03442117761433338,0.02863981302513687,0.028956174850463867,-0.36393351333689844,0.010752688172043012
Mixed-type CEM,fold_target,4,margin,error_increase,558,0.027086239944578212,0.03527991049820732,0.02591344714164734,-0.3263198142332718,0.08422939068100359
Mixed-type CEM,fold_target,4,sphericity,output_sensitivity,384,0.054621358712514244,0.040760950840804756,0.04907834529876709,-0.2464327291585505,0.0546875
Mixed-type CEM,fold_target,4,sphericity,error_increase,384,-0.037248335468272366,0.05329805707463875,-0.035699665546417236,-1.3326279198128585e-05,0.53125
Mixed-type CEM,fold_target,4,spiculation,output_sensitivity,564,0.17041272453382506,0.1423778153566579,0.14281922578811646,-0.6213003598417797,0.024822695035460994
Mixed-type CEM,fold_target,4,spiculation,error_increase,564,-0.17002415509088664,0.1428416104445971,-0.14281922578811646,0.5773508622502603,0.9308510638297872
